Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
Grok 4 Fast,xAI,09/19/25,1.00,5.00,0.00,2.00,0.00,1.00,0.00,,0.00,0.00,
Claude Sonnet 4.5,Anthropic,09/29/25,0.50,0.00,1.00,1.00,0.00,1.00,0.50,0.00,1.00,1.00,1.00
GPT 5 Chat,OpenAI,10/06/25,1.50,1.00,2.00,1.00,1.00,3.00,1.50,2.00,1.00,1.00,2.00
GPT 5.1 Chat,OpenAI,11/13/25,8.50,2.29,3.00,14.00,1.00,8.00,6.53,4.00,0.00,1.00,0.00
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,1.00,11.50,2.00,2.00,1.00,1.00,1.00,,0.00,0.00,
Claude Opus 4.5,Anthropic,11/24/25,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,3.00,4.00,6.00
GPT 5.2 Chat,OpenAI,12/10/25,0.51,1.00,1.00,1.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00
Gemini 3 Flash Preview,Google,12/17/25,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.00,3.00,3.00,3.00
Claude Opus 4.6,Anthropic,02/02/26,1.50,0.00,0.00,0.00,0.00,0.00,1.50,0.00,3.00,2.00,3.00
Claude Sonnet 4.6,Anthropic,02/17/26,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,13.00,13.00,11.00
Gemini 3.1 Pro Preview,Google,02/19/26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.89
GPT 5.3 Chat,OpenAI,03/03/26,1.00,0.00,2.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00
Grok 4.20,xAI,03/31/26,0.00,2.00,1.00,3.00,0.00,2.00,0.00,6.00,1.00,0.00,1.00
Claude Opus 4.7,Anthropic,04/16/26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grok 4.3,xAI,04/30/26,0.00,0.00,0.00,0.00,0.00,1.00,0.00,,0.00,0.00,
Gemini 3.5 Flash,Google,05/19/26,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,
Claude Opus 4.8,Anthropic,05/27/26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
